Discharge	Stage
257	4.87
118	2.69
110	2.68
120	2.7
224	2.97
148	2.78
103	2.79
189	2.88
808	4.43
3330	7.91
1250	4.11
1030	3.86
731	3.63
1110	3.99
1900	4.78
1100	3.99
2050	4.86
2120	4.9
2800	5.72
1590	4.29
280	3.06
675	3.56
397	3.24
213	2.93
155	2.82
213	2.94
133	2.76
162	2.88
155	3.05
1150	4.57
2840	7.79
4710	11.21
9380	16.2
14400	18.15
23100	22.02
17900	21.83
14100	20.19
9440	17.12
6260	11.75
5590	10.46
5100	10.08
3420	7.66
2440	6.24
1730	4.76
928	3.82
201	2.91
145	2.79
184	2.88
195	2.9
161	2.82
149	2.83
165	2.86
1510	5.15
3830	9.23
2060	5.28
3400	7.19
4390	8.12
5460	9.68
5580	9.82
5220	9.9
5190	9.54
4440	8.24
5560	9.85
3060	6.51
6440	10.47
8360	12.63
3400	6.66
2650	5.76
1460	4.2
616	3.55
608	3.5
744	3.7
318	3.2
274	3.12
172	2.87
187	2.91
192	2.89
2880	7.66
5930	12.21
8010	12.86
2690	6.07
1890	4.67
4200	11.48
6690	14.06
7400	13.94
1930	4.78
4950	9.17
6170	10.45
1440	4.26
713	3.63
2280	5.84
7910	12.18
2330	5.36
490	3.41
496	3.44
265	3.18
461	3.46
8140	14.28
8460	14.33
4100	10.06
3340	8.62
2650	6.51
4110	8.53
1610	4.39
693	3.6
380	3.23
322	3.11
239	3
207	2.91
239	2.98
112	2.69
138	2.73
2290	5.26
2820	5.78
3550	7.39
2550	5.46
1150	3.98
2080	4.82
261	3.04
677	3.58
295	3.1
906	3.8
1330	4.21
683	3.64
563	3.57
606	3.71
4430	11.06
8120	15.88
12600	17.47
10100	16.87
7320	13.7
4070	8.31
5250	9.51
5460	9.95
2920	6.25
915	3.84
467	3.35
764	3.7
2560	5.58
1580	4.46
592	3.73
1020	4.07
1110	4
4220	8.11
5810	11.26
6710	11.91
3350	6.68
2890	6.21
2880	6.23
7930	14.17
8110	14.18
7830	13.94
2630	6.2
1340	4.34
802	3.93
660	4.11
815	4.4
2500	7.85
3180	9
7260	16.17
13800	19.75
12800	19.34
11200	18.5
12000	17.24
10300	15.7
5260	9.86
21600	21.69
19500	22.03
6020	10.26
6370	10.65
2470	5.7
1820	4.89
1320	6.09
737	4.1
3210	8.84
6640	13.73
2780	8.51
3400	8.72
5510	10.14
6820	11.06
13700	17.53
19000	21.1
23700	22.51
19300	21.24
4560	9.8
1430	4.69
1040	4.18
878	4.03
834	3.94
732	3.82
384	3.61
1000	5.24
17200	19.5
6410	12.68
3420	7.61
10300	14.85
11200	16
18000	20.91
2760	6.48
3100	6.82
920	4.02
763	3.87
562	3.66
292	3.51
667	4.34
2670	8.7
8700	16.65
12400	17.22
12400	17.5
6580	11.14
2680	6.12
3180	6.5
2280	5.21
1580	4.56
2740	5.8
3580	7.5
3230	7
2840	7.7
970	4.6
825	4.24
2910	8.71
6120	10.48
5820	10.57
12900	17.28
17000	20.12
19500	21.04
9910	15.18
4230	8.44
3350	7.14
1820	5.12
943	4.05
562	3.65
682	3.78
1040	4.85
435	3.91
316	3.81
6160	14.08
21500	22.1
13800	18.77
12200	17.34
8610	14.02
6130	10.92
1880	5.12
1170	4.28
835	3.95
918	4
490	3.58
460	3.55
482	3.66
548	3.84
414	3.73
6290	12.41
12400	16.05
32000	23.57
14100	19.28
11000	16.86
3370	7.79
1030	4.22
649	3.78
541	3.63
473	3.54
547	3.67
369	3.4
199	3.18
249	3.18
244	3.18
696	4.51
6820	15
11300	16.24
7170	12.37
6590	13.74
2270	5.7
1220	4.26
533	3.6
378	3.42
397	3.44
414	3.45
229	3.22
246	3.38
199	3.52
1870	6.13
29400	21.9
30600	23.83
13200	18.49
4700	8.81
4760	8.56
3480	7.49
2560	6.19
4020	8.25
1350	5.76
1040	5.16
6560	13.97
32400	23.4
59200	28.25
37800	25.74
19300	21.55
13600	17.82
5460	9.57
6590	11.9
1910	5.33
820	3.93
420	3.58
256	3.48
355	3.52
340	3.53
416	3.72
11300	15.96
7080	12.01
6110	10.68
18600	19.27
12500	17.61
10700	14.8
15500	19.18
2230	5.33
1400	4.34
747	3.74
701	3.68
591	3.71
416	3.6
638	3.82
2500	5.78
8190	12.14
2760	6.77
7400	12.71
3240	6.98
9420	13.74
1350	4.46
1630	4.72
848	3.92
977	4
1160	4.24
908	3.99
681	3.74
487	3.64
455	3.65
6860	13.68
4970	9.26
1650	4.56
1940	5.11
5510	9.52
1160	4.2
507	3.64
354	3.45
365	3.47
240	3.31
241	3.42
257	3.52
480	3.66
4460	9.63
1980	5.28
2260	5.42
12100	16.61
10400	15.07
1310	4.54
1920	5.23
566	3.7
476	3.56
376	3.43
534	3.65
615	3.74
619	3.73
237	3.31
277	3.36
2110	5.25
3390	7.28
1490	4.58
3350	7.07
42000	25.64
36200	25.58
25100	23.74
22000	22.71
18100	21.53
14400	19.84
13800	19.31
12800	17.84
8500	13.32
10200	14.93
4800	9.67
3110	7.09
3270	7.56
2580	6.31
2750	6.65
1800	6.23
1000	4.73
595	4.42
2190	5.76
7870	12.28
3200	7.2
2070	5.64
1640	4.87
354	3.47
372	3.5
273	3.35
201	3.23
189	3.38
1290	4.31
904	4.02
1620	4.79
415	3.46
395	3.43
960	4.05
985	4.11
1150	4.27
1550	6.57
1240	5.48
550	4.1
3890	10.62
11600	18.93
18700	22.36
14000	19.25
30700	24.8
3090	8.78
3750	9.24
